,Name,Email,Password,Suggestion,Analysis
0,ronnie,ronnie@ussr.com,asdfrwds,love the chicken burger.,1
1,katherine,katy@usa.edu.in,784596257,i loved your mango drink.,1
2,eddie,ed@yahoo.com,4785hjgvc021,not good. could have improved.,1
3,Prateek,Feheuxy@outlook.com,4546,Dishes are too gud. ,0
4,Check1,Feheuxy@outlook.com,3156,Not good taste. ,1
5,abc,abc,1236547812,good.,1
6,def,def,7845vfgb123,bad.,0
7,Check2,Feheuxy@outlook.com,4567,Great taste. ,1
8,ghi,ghi,3698521470,excellent.,1
9,Check3,Feheuxy@outlook.com,7891,Delicious. ,1
10,jkl,jkl,1452mjbng,worst.,0
11,aek,aek,bgvdfc45874,brilliant.,0
12,Checksome,Feheuxy@outlook.com,5643,Cool! ,0
13,Vegeta,Abc@gmail.com,5643,Excellent menu. ,0
14,Kavya,Abc@gmail.com,5643,The selection on the menu was great and so were the prices.,1
15,Neeraj,Abc@gmail.com,5643,Now I am getting angry and I want my damn pho.,0
16,Aman,Abc@gmail.com,5643,Honeslty it didn't taste THAT fresh.),0
17,Lalit,Abc@gmail.com,5643,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0
18,Vicky,Abc@gmail.com,5643,The fries were great too.,1
19,Kanishka,Abc@gmail.com,5643,A great touch.,1
20,Prince,Abc@gmail.com,5643,Service was very prompt.,1
21,Akshit,Abc@gmail.com,5643,Would not go back.,0
22,Shubhankit,Abc@gmail.com,5643,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0
23,Akshay,Abc@gmail.com,5643,"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1
24,Adarsh,Abc@gmail.com,5643,I was disgusted because I was pretty sure that was human hair.,0
25,Raghav,Abc@gmail.com,5643,I was shocked because no signs indicate cash only.,0
26,Rishabh,Abc@gmail.com,5643,Highly recommended.,1
27,Raushan,Abc@gmail.com,5643,Waitress was a little slow in service.,0
28,Ananya,Abc@gmail.com,5643,"This place is not worth your time, let alone Vegas.",1
29,Rishabh,Abc@gmail.com,5643,did not like at all.,1
30,Gaurav,Abc@gmail.com,5643,The Burrittos Blah!,0
31,Prabhat,Abc@gmail.com,5643,"The food, amazing.",1
32,Bini,Abc@gmail.com,5643,The shrimp tender and moist.,0
33,Prakhar,Abc@gmail.com,5643,The food was delicious.,1
34,Rahul,Abc@gmail.com,5643,There is not a deal good enough that would drag me into that establishment again.,0
35,Abhishek,Abc@gmail.com,5643,ard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0
36,Asha,Abc@gmail.com,5643,"On a positive note, our server was very attentive and provided great service.",0
37,Rahul,Abc@gmail.com,5643,"Frozen pucks of disgust, with some of the worst people behind the register.",0
38,Kamlesh,Abc@gmail.com,5643,The only thing I did like was the prime rib and dessert section.,0
39,Kritika,Abc@gmail.com,5643,It's too bad the food is so damn generic.,0
40,Ruchi,Abc@gmail.com,5643,"The burger is good beef, cooked just right.",0
41,Dipesh,Abc@gmail.com,5643,If you want a sandwich just go to any Firehouse!!!!!,1
42,Vikas,Abc@gmail.com,5643,"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1
43,Dipesh,Abc@gmail.com,5643,We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1
44,Subham,Abc@gmail.com,5643,He came running after us when he realized my husband had left his sunglasses on the table.,0
45,Atul,Abc@gmail.com,5643,Their chow mein is so good!,1
46,Aman,Abc@gmail.com,5643,"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0
47,Prarit,Abc@gmail.com,5643,The portion was huge!,1
48,Kapil,Abc@gmail.com,5643,"Loved it...friendly servers, great food, wonderful and imaginative menu.",1
49,Sharib,Abc@gmail.com,5643,The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0
50,Pankaj,Abc@gmail.com,5643,Not much seafood and like 5 strings of pasta at the bottom.,0
51,Shreya,Abc@gmail.com,5643,"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",0
52,Adit,Abc@gmail.com,5643,"The ripped banana was not only ripped, but petrified and tasteless.",0
53,Paras,Abc@gmail.com,5643,At least think to refill my water before I struggle to wave you over for 10 minutes.,0
54,Abhijeet,Abc@gmail.com,5643,This place receives stars for their APPETIZERS!!!,1
55,Visha,Abc@gmail.com,5643,The cocktails are all handmade and delicious.,1
56,Aamir,Abc@gmail.com,5643,We'd definitely go back here again.,1
57,Hitesh,Abc@gmail.com,5643,We are so glad we found this place.,1
58,Sanjay,Abc@gmail.com,5643,"Great food and service, huge portions and they give a military discount.",1
59,Prashant,Abc@gmail.com,5643,Always a great time at Dos Gringos!,1
60,Gaurav,Abc@gmail.com,5643,Update.....went back for a second time and it was still just as amazing,0
61,Mohit,Abc@gmail.com,5643,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0
62,Divydeep,Abc@gmail.com,5643,A great way to finish a great.,1
63,Samar,Abc@gmail.com,5643,"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",0
64,Madhurta,Abc@gmail.com,5643,Awful Experience.,0
65,Muskan,Abc@gmail.com,5643,The service was meh.,0
66,Shreya,Abc@gmail.com,5643,"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0
67,Arjun,Abc@gmail.com,5643,"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0
68,Sumit,Abc@gmail.com,5643,The scallop dish is quite appalling for value as well.,0
69,Sumit,Abc@gmail.com,5643,2 times - Very Bad Customer Service !,0
70,Prateek,Abc@gmail.com,5643,The sweet potato fries were very good and seasoned well.,1
71,Deepak,Abc@gmail.com,5643,Today is the second time I've been to their lunch buffet and it was pretty good.,1
72,Chirag,Abc@gmail.com,5643,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0
73,Abhishek,Abc@gmail.com,5643,Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0
